,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Steve Lacy,Dark Red,3EaJDYHA0KnX88JvDhL9oa,89,0.603,0.784,6,-4.023,1,0.062,0.446,8.32e-06,0.119,0.769,172.041,173104,4
1,Cigarettes After Sex,Apocalypse,3AVrVz5rK8Hrqo9YGiVGN5,84,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,290147,4
2,XXXTENTACION,Revenge,5TXDeTFVRVY7Cvt0Dw4vWW,88,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,4
3,"Tyler, The Creator",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,85,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4
4,Lil Baby,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,83,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,162053,4
5,Lil Uzi Vert,20 Min,0uxSUdBrJy9Un0EYoBowng,84,0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,220587,4
6,Offset,Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,84,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800,4
7,Future,Solo,4lH6nENd1y81jp7Yt9lTBX,82,0.784,0.486,5,-6.497,0,0.0475,0.0538,0.497,0.101,0.0894,110.964,265996,4
8,Taylor Swift,Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE,87,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413,4
9,Tyler Childers,Feathered Indians,2tgQaL85WoRfgEa4hFQgrE,79,0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,224947,4
10,Kendrick Lamar,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,83,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,213400,4
11,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,84,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
12,SZA,Broken Clocks,2fXwCWkh6YG5zU1IyvQrbs,82,0.692,0.684,6,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912,231253,4
13,Lil Uzi Vert,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,83,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,4
14,Ruth B.,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,90,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,3
