,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Sia,Snowman,7uoFMmxln0GPXQ0AcCBXRq,92,0.716,0.512,1,-6.257,1,0.0331,0.483,0.0,0.0928,0.326,104.957,165907,3
1,Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,81,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,4
2,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,85,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
3,The Weeknd,I Was Never There,1cKHdTo9u0ZymJdPGSh6nq,91,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,241067,4
4,Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,85,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4
5,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,83,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957,142273,4
6,The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,90,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,228373,3
7,Morgan Wallen,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,81,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4
8,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,85,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274,4
9,Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,82,0.964,0.487,10,-6.071,0,0.421,0.00127,6.57e-06,0.115,0.107,127.05,154024,4
10,Kendrick Lamar,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,85,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,4
11,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,86,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
12,21 Savage,ball w/o you,50a8bKqlwDEqeiEknrzkTO,82,0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,195047,4
13,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,89,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4
14,21 Savage,a lot,2t8yVaLvJ0RenpXUIAC52d,82,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,4
15,girl in red,we fell in love in october,6IPwKM3fUUzlElbvKw2sKl,86,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,184154,4
16,Vacations,Telephones,0JIMT9gzLIIz0esKLyjbKf,82,0.526,0.447,2,-9.268,1,0.0274,0.00283,0.0301,0.109,0.183,74.995,212432,4
17,The Neighbourhood,Softcore,2K7xn816oNHJZ0aVqdQsha,87,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,206280,4
18,XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,86,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886,4
19,Metro Boomin,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ,80,0.81,0.353,6,-9.931,0,0.31,0.588,0.0,0.102,0.0727,88.031,208293,4
20,Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,80,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,4
21,Juice WRLD,Lean Wit Me,3oDkdAySo1VQQG0ptV7uwa,80,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,175755,4
22,The Neighbourhood,You Get Me So High,7zwn1eykZtZ5LODrf7c0tS,83,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,153000,4
23,Mitski,Washing Machine Heart,3jjsRKEsF42ccXf8kWR3nu,84,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,128199,4
24,Kanye West,Violent Crimes,3s7MCdXyWmwjdcWh7GWXas,81,0.669,0.419,1,-6.724,0,0.522,0.376,0.0,0.187,0.0397,109.813,215320,4
25,Metro Boomin,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,82,0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,203267,4
26,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,79,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,153800,4
27,Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,85,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,4
28,Men I Trust,Show Me How,01TyFEZu6mHbffsVfxgrFn,81,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,215111,4
29,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,83,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
30,Juice WRLD,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,79,0.736,0.67,10,-6.702,1,0.311,0.186,0.0,0.114,0.845,130.032,169999,4
31,Mac Miller,Self Care,5bJ1DrEM4hNCafcDd1oxHx,80,0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,345133,4
