,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
743,Will Smith,Arabian Nights (2019),6ZxPYutGhjLTrcmvcshCa4,70,0.445,0.532,8,-8.018,1,0.0405,0.254,0.0,0.109,0.465,128.776,193096,4
744,Susie Vanner,Santa Baby,37o2WVGM15gzJ2lxWpjfci,62,0.59,0.376,7,-11.986,1,0.063,0.445,7.46e-06,0.35,0.546,94.335,194726,4
745,Sleepy Hallow,I Get Luv,7LoHryKSypwGyBD2av1EMO,65,0.809,0.444,7,-6.534,0,0.607,0.597,0.0,0.238,0.694,180.05,103483,4
746,Lil Tecca,Shots,6eSU1exzDvBEXmBRxspeh5,66,0.829,0.582,7,-5.721,0,0.0415,0.525,0.0,0.0759,0.51,108.028,109373,4
747,Rebecca McCarthey,I Saw Mommy Kissing Santa Claus,5DLLYzJ575Fm5nO9JMz1Qb,66,0.555,0.247,0,-17.092,1,0.0431,0.992,0.91,0.106,0.316,146.996,218927,4
748,Lil Tjay,Brothers (feat. Lil Durk) - Remix,2wUwC1gBJIC05JH87v2hgN,64,0.688,0.489,2,-7.627,0,0.173,0.619,0.0,0.153,0.559,85.404,210120,5
749,Luke Chiang,Shouldn't Be,7F6PtLP6fJPVtA1FWVkl8K,73,0.647,0.294,6,-10.344,0,0.0312,0.728,0.0,0.123,0.323,124.999,210480,3
750,Grupo Firme,El Mundo a Tus Pies,4MDLvDUSbL6TEtc12CxNyp,70,0.652,0.524,5,-6.582,1,0.0311,0.331,0.0,0.273,0.396,134.812,176227,4
751,UPSAHL,Drugs,06ioYJ99HHjzRk8HrGfkKS,67,0.883,0.415,6,-8.571,0,0.174,0.35,0.0,0.063,0.318,76.986,155867,4
752,Sheff G,Flows,7k4fn2FDvkXyEpZeXHYYWV,65,0.841,0.481,6,-8.165,0,0.137,0.269,0.00128,0.08,0.822,137.973,153522,4
753,Trippie Redd,Love Me More,6uYgCE2OEulOw5zhHvZsHf,64,0.638,0.539,10,-5.853,1,0.0504,0.22,0.0,0.241,0.247,83.381,143713,4
754,ILLENIUM,Good Things Fall Apart (with Jon Bellion),6pooRNiLyYpxZeIA5kJ5EX,63,0.643,0.594,2,-5.453,1,0.0318,0.0128,0.0,0.118,0.442,144.033,216668,4
755,Tee Grizzley,Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),2HsSzwrvvgiYSCdsYLiJWB,62,0.779,0.705,8,-6.383,0,0.051,0.237,0.0,0.0899,0.451,122.996,332195,4
756,Katy Perry,Never Really Over,5PYQUBXc7NYeI1obMKSJK0,71,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,223523,4
757,Lana Del Rey,Venice Bitch,3hwQhakFwm9soLEBnSDH17,69,0.368,0.286,9,-13.031,0,0.0294,0.913,0.177,0.099,0.312,77.826,577199,4
758,Zedd,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,68,0.693,0.564,1,-3.857,0,0.0378,0.399,0.0,0.0409,0.574,185.913,210901,3
759,sundiver ca,Soundtrack for Your Backseat,06CUyVD4i6YQ8X9dXC7mI6,65,0.605,0.666,10,-8.736,0,0.0272,0.176,0.358,0.143,0.55,76.003,162434,4
760,Sheff G,"Flows, Pt. 2",4AUwKqmQeAplXNXX2yg10g,65,0.753,0.545,10,-8.93,0,0.307,0.778,0.000282,0.109,0.752,77.703,111429,1
761,SAINt JHN,Monica Lewinsky (feat. A Boogie Wit da Hoodie),4hTErxf8ZqFNGH0hZqEoAI,65,0.828,0.521,10,-5.583,1,0.137,0.858,0.0,0.13,0.369,106.009,200475,4
762,Miracle Tones,Solfeggio Frequencies 528 Hz,79AM1JeUv0oBaWENiiLOAx,65,0.237,0.151,0,-23.333,1,0.0633,0.893,0.848,0.109,0.169,145.272,165375,5
