,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Hotel Ugly,Shut up My Moms Calling,3hxIUxnT27p5WcmjGUXNwx,88,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,164571,4
1,Brent Faiyaz,Clouded,2J6OF7CkpdQGSfm1wdclqn,84,0.583,0.344,2,-8.765,1,0.0559,0.774,0.0,0.143,0.581,65.203,110129,3
2,21 Savage,Glock In My Lap,6pcywuOeGGWeOQzdUyti6k,84,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,193591,4
3,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,91,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
4,Conan Gray,Heather,4xqrdfXkTW4T0RauPLv3WA,89,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3
5,SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,83,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4
6,The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,90,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,4
7,Sleep Miracle,Brown Sleep Noise,5UBonaClAZVfzxJNn8nnhh,82,0.0555,0.0837,1,-30.397,1,0.147,0.116,1.0,0.112,0.06,59.509,248000,4
8,21 Savage,Runnin,5SWnsxjhdcEDc7LJjq9UHk,82,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,4
9,Polo G,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,83,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,132833,4
10,Fujii Kaze,Shinunoga E-Wa,0o9zmvc5f3EFApU52PPIyW,89,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,185573,4
11,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",30QR0ndUdiiMQMA9g1PGCm,82,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490,4
12,Darlene Love,Christmas (Baby Please Come Home),47ohYW8e7dxCYn9qbUMBCI,84,0.325,0.759,8,-7.146,1,0.053,0.395,0.000362,0.0773,0.36,126.627,166453,4
13,Playboi Carti,Sky,29TPjc8wxfz4XMn21O7VsZ,82,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,193234,4
14,A Boogie Wit da Hoodie,Secrets,2xB46Bj9HZ4cr058yN4Pla,80,0.539,0.648,4,-6.008,1,0.0619,0.118,0.0,0.362,0.403,91.066,133331,4
15,King Von,Took Her To The O,7fEoXCZTZFosUFvFQg1BmW,80,0.82,0.592,1,-7.002,1,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180,4
16,"Tyler, The Creator",BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,81,0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,127921,3
17,Diplo,Heartless (feat. Morgan Wallen),3FU6urUVsgXa6RBuV2PdRk,78,0.765,0.556,11,-6.417,1,0.0512,0.275,0.0,0.0824,0.274,111.033,169227,4
18,Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd,84,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4
19,Chris Stapleton,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,78,0.602,0.477,9,-8.425,1,0.032,0.268,3.1e-05,0.173,0.552,183.89,213493,4
20,Luke Combs,Forever After All,6IBcOGPsniK3Pso1wHIhew,79,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4
21,Eslabon Armado,Jugaste y Sufrí,3NqBxTOMCJ3zW9CIP51td4,81,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,275194,1
22,The Weeknd,Heartless,6bnF93Rx87YqUBLSgjiMU8,83,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,198267,4
23,Glass Animals,Heat Waves,02MWAaffLxlfxAUY7c5dvx,88,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
24,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,80,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,4
25,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,84,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,4
26,Steve Lacy,Infrunami,0f8eRy9A0n6zXpKSHSCAEp,79,0.826,0.299,9,-7.721,1,0.0446,0.31,0.0952,0.0758,0.215,97.012,178328,4
27,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,84,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923,4
28,21 Savage,Rich Nigga Shit (feat. Young Thug),3ruoIF2UnoXdzK8mR61ebq,79,0.825,0.733,1,-5.625,0,0.0969,0.349,0.0,0.112,0.62,97.974,190331,4
29,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,82,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,220488,4
30,Kali Uchis,telepatía,6tDDoYIxWvMLTdKpjFkc1B,82,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4
31,The Ronettes,Sleigh Ride,7fUYUcWy853HS8YJn0b3Sr,81,0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,181267,4
32,Lil Baby,On Me,4Iedi94TIaB2GGb1nMB68v,77,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,135960,4
33,Giveon,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,84,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371,3
34,The Weeknd,After Hours,2p8IUWQDrpjuFltbdgLOag,86,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,361027,4
