,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,84,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,3
1,Tory Lanez,The Color Violet,3azJifCSqg9fRij2yKIbWz,87,0.645,0.534,6,-10.8,0,0.0479,0.157,0.0,0.0863,0.463,105.02,226467,4
2,Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,84,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,4
3,Nicky Youre,Sunroof,4h4QlmocP3IuwYEj2j14p8,89,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,163026,4
4,Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,83,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956,4
5,Stephen Sanchez,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,89,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,177720,3
6,Jordan Davis,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,80,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,167480,4
7,Surf Curse,Freaks,7EkWXAI1wn8Ii883ecd9xr,86,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062,4
8,Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,87,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3
9,Polo G,RAPSTAR,18vXApRmJSgQ6wG2ll9AOg,82,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,165926,4
10,Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,87,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4
11,Baby Keem,family ties (with Kendrick Lamar),3QFInJAm9eyaho5vBzxInN,81,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,252262,4
12,Jelly Roll,Son Of A Sinner,25VQoiuyc0HkC5FQTj1a8G,78,0.365,0.541,7,-7.489,1,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,232093,4
13,AJR,World's Smallest Violin,3jHBgKdLCf46aP3HRI0WYv,77,0.68,0.696,5,-6.977,1,0.051,0.116,0.0,0.607,0.684,115.962,180743,4
14,Morgan Wallen,More Than My Hometown,5OELUCYgOHKFAvCERnAvfS,79,0.62,0.869,6,-5.479,1,0.0462,0.615,0.0,0.131,0.597,126.019,216573,4
15,Olivia Rodrigo,traitor,5CZ40GBx1sQ9agT82CLQCT,87,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,4
16,Morgan Wallen,Cover Me Up,0mKnuxVkPi5h0kuvZl44VM,78,0.549,0.44,7,-8.192,1,0.0264,0.232,7.37e-06,0.107,0.214,128.01,293707,3
17,Morgan Wallen,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,78,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,202133,4
18,ame,raining for hours,3L1JHXiqNOJ57w3n2R3HyU,83,0.231,0.976,10,-27.426,0,0.0487,0.152,0.987,0.48,0.00672,96.552,131500,5
19,Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,88,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4
20,Kelly Clarkson,"Santa, Can’t You Hear Me",2O3MQ6H3gjrIWDcpeTrikT,82,0.495,0.896,11,-2.381,1,0.0331,0.005,0.0,0.353,0.462,146.04,242645,4
21,Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,86,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4
22,Olivia Rodrigo,favorite crime,5JCoSi02qi3jJeHdZXMmR8,85,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,152667,4
23,Sleepy Hallow,2055,4XvcHTUfIlWfyJTRG0aqlo,82,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,123987,4
24,The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,88,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
25,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,83,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,613027,4
26,Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,83,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,291175,4
27,Baby Keem,16,1Is8hGpkGMiePASAxBluxM,79,0.701,0.782,1,-4.987,1,0.138,0.0918,2.31e-06,0.124,0.57,94.03,156040,4
28,Yeat,Monëy so big,7BbaIYAdi3pg4MGl6PHwPv,80,0.693,0.575,2,-7.633,1,0.0906,0.121,0.0,0.104,0.353,138.016,160052,4
29,Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS,88,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4
30,Olivia Rodrigo,drivers license,5wANPM4fQCJwkGd4rN57mH,87,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013,4
31,Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,87,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4
32,DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1EJIcDYXwSqipW5dFe4uJz,78,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062,236524,4
33,Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,83,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4
34,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,87,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4
35,The Rare Occasions,Notion,0sTlGEld0h8kIPZaKDYUf4,83,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,195121,4
36,Sleep Sleep Sleep,White Noise Waterfall,5WkRINJDHP7zdAo45F1bJb,82,0.188,0.00481,3,-23.892,0,0.0575,0.131,0.352,0.13,0.0388,115.759,163506,3
37,SZA,I Hate U,5dXWFMwD7I7zXsInONVl0H,80,0.535,0.388,7,-9.805,0,0.155,0.507,0.0,0.11,0.412,106.703,174000,5
38,Cochise,Tell Em,7nc7mlSdWYeFom84zZ8Wr8,80,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,180380,4
39,INTERWORLD,METAMORPHOSIS,2ksyzVfU0WJoBpu8otr4pz,88,0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014,142839,4
40,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,81,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657,4
41,Morgan Wallen,7 Summers,4obHzpwGrjoTuZh2DItEMZ,76,0.466,0.786,0,-5.13,1,0.0328,0.417,6.1e-05,0.125,0.571,203.903,210507,4
42,Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,86,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301,4
43,J. Cole,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG,78,0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,140.021,218802,4
44,Lil Nas X,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,86,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4
45,Doja Cat,You Right,0k4d5YPDr1r7FX77VdqWez,83,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,4
46,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,87,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747,4
47,Mareux,The Perfect Girl,5RBOcBpJXaNnHCGViJmYhh,84,0.485,0.89,8,-5.992,0,0.0911,0.000872,0.818,0.102,0.258,128.881,194423,4
48,PinkPantheress,Pain,4S4QJfBGGrC8jRIjJHf1Ka,79,0.829,0.617,1,-8.497,1,0.14,0.227,0.00306,0.0618,0.81,125.605,98544,4
49,Ivan Cornejo,Está Dañada,6G2xXQRSZlEzYsUEb3uvuR,77,0.405,0.565,1,-9.266,0,0.0372,0.38,0.0195,0.107,0.166,159.892,214149,3
50,Cody Johnson,'Til You Can't,4k3lPl8YTKuY8c1HelVnm3,76,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,224213,4
51,Taylor Swift,Wildest Dreams (Taylor's Version),1Ov37jtRQ2YNAe8HzfczkL,82,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433,4
52,Kodak Black,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,76,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,200548,4
53,Carolina Gaitán - La Gaita,We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,79,0.577,0.45,0,-8.516,0,0.0834,0.357,0.0,0.111,0.83,205.863,216120,4
54,Drake,Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,79,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
55,Olivia Rodrigo,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,83,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,173160,4
56,Morgan Wallen,This Bar,075qcpR3BnxD5CWUIx1HTr,75,0.553,0.884,2,-5.306,1,0.0771,0.0921,0.00033,0.0463,0.248,110.074,185280,4
57,Cafuné,Tek It,751srcHf5tUqcEa9pRCQwP,79,0.423,0.913,8,-5.354,1,0.0655,6.53e-05,0.0,0.269,0.596,146.995,191823,4
58,Doja Cat,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,82,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667,4
59,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,85,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4
60,Lil Tjay,Calling My Phone,3J8EOeKLTLXORtWPpOU5bE,81,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458,4
61,Doja Cat,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,80,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,138293,4
62,Doja Cat,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm,79,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,174253,4
63,Olivia Rodrigo,happier,2tGvwE8GcFKwNdAXMnlbfl,85,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,175933,3
64,Bruno Mars,Leave The Door Open,02VBYrHfVwfEWXk5DXyf0T,84,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,4
65,J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf,78,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967,218210,4
66,Marshmello,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,85,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983,4
67,Summer Walker,No Love (with SZA),08SB2OtZkaliju77WYEKxk,78,0.707,0.618,1,-5.825,0,0.19,0.17,0.0,0.293,0.517,133.876,231498,4
