,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Drake,Rich Flex,1bDbXMyjaUIooNwFE9wn0N,96,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360,3
1,SZA,Kill Bill,3OHfY25tqY28d16oZczHc8,93,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,153947,4
2,Sam Smith,Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,100,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,156943,4
3,Taylor Swift,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,97,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690,4
4,d4vd,Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,94,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,132631,4
5,Lil Uzi Vert,Just Wanna Rock,4FyesJzVpA39hbYvcseO2d,91,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891,4
6,SZA,Nobody Gets Me,5Y35SjAfXjjG0sFQ3KOxmm,90,0.358,0.284,7,-8.285,1,0.0285,0.805,0.0,0.183,0.276,99.796,180853,3
7,Zach Bryan,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,89,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013,3
8,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,93,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520,4
9,SZA,Low,2GAhgAjOhEmItWLfgisyOn,88,0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,181080,4
10,SZA,Blind,2CSRrnOEELmhpq8iaAi9cd,88,0.461,0.279,9,-11.776,0,0.0373,0.911,0.0,0.205,0.599,114.225,150720,4
11,Drake,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,90,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4
12,Bad Bunny,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,95,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4
13,Steve Lacy,Bad Habit,5CM4UuQ9Gnd6K2YyKGPMoK,90,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,232115,4
14,Morgan Wallen,You Proof,5uU1uuyaUIBOiiUSQG7Wl3,86,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,157478,4
15,Bad Bunny,Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,96,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567,4
16,SZA,Seek & Destroy,6eT2V7nKXyMf47TwPbtgAD,86,0.651,0.647,1,-5.415,1,0.0654,0.437,0.175,0.205,0.345,152.069,203733,4
17,SZA,Love Language,1eIXYZWEfJO3Na2LCCnIJE,86,0.707,0.261,9,-10.139,0,0.0784,0.853,0.0,0.127,0.545,65.038,183893,4
18,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],0vjeOZ3Ft5jvAi9SBFJm1j,88,0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667,4
19,Drake,Pussy & Millions (feat. Travis Scott),2KLwPaRDOB87XOYAT2fgxh,89,0.749,0.63,4,-6.652,0,0.116,0.0623,0.0,0.353,0.445,122.03,242027,4
20,SZA,Used (feat. Don Toliver),1TweDM3JC49LNeelLVg3yX,86,0.734,0.689,10,-6.454,0,0.0871,0.532,8.47e-05,0.322,0.705,149.579,70160,4
21,SZA,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,85,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,201800,4
22,SZA,Ghost in the Machine (feat. Phoebe Bridgers),4h5x3XHLVYFJaItKuO2rhy,85,0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979,218587,4
23,SZA,SOS,5xMw6qCcpd2gBXPGTegC4W,85,0.507,0.657,7,-7.356,0,0.233,0.669,6.97e-06,0.0947,0.506,119.159,117773,1
24,SZA,Special,6RQ5IwG7uADz9LDWliJGjU,85,0.604,0.199,0,-11.831,1,0.05,0.777,0.0,0.109,0.191,76.134,158840,4
25,David Guetta,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,97,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238,4
